ItemName,Brand,BrandHash,ProductName,CompanyURL,ItemHash,MPN,UPC,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,Cat_0,Cat_1,Cat_2,ProductHash,Price,Cost,ListPrice,dt,ImageURL,Availability,OnSale,Inventory,Conversion_PCT,UnitsSold,Revenue,feature_8
Realme 6 (Comet White  64 GB),Realme,297526941,Realme 6 ,https://www.flipkart.com,646379237,646379237,646379237,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,90 Hz Ultra Smooth Display,30 W Flash Charge,Side Fingerprint Sensor,Home,Mobiles & Accessories,Mobiles,-316209145,15999,14399,17999,29072020,https://www.flipkart.com\/realme-6-comet-white-64-gb/p/itma64226eb3e2d2?pid=MOBFTAZ5DSJYBFWU&lid=LSTMOBFTAZ5DSJYBFWU6DFPDA&marketplace=FLIPKART&srno=b_1_11&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=0a1723b3-8569-4d06-a70b-67cfc2ff3929.MOBFTAZ5DSJYBFWU.SEARCH&ssid=xjrku67mqo0000001596019785401,1,1,47,0.18950830902497895,40,592121,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
Realme Narzo 10 (That Green  128 GB),Realme,297526941,Realme Narzo 10 ,https://www.flipkart.com,2100980625,2100980625,2100980625,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G80 (12 nm) Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,,Home,Mobiles & Accessories,Mobiles,-1256364914,11999,11399,12999,29072020,https://www.flipkart.com\/realme-narzo-10-that-green-128-gb/p/itmfaa990ac54b7a?pid=MOBFQ36AGTW8HNMW&lid=LSTMOBFQ36AGTW8HNMWFLXHAY&marketplace=FLIPKART&srno=b_1_12&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=0a1723b3-8569-4d06-a70b-67cfc2ff3929.MOBFQ36AGTW8HNMW.SEARCH&ssid=xjrku67mqo0000001596019785401,1,1,48,0.546137955764725,33,177943,
Realme Narzo 10 (That White  128 GB),Realme,297526941,Realme Narzo 10 ,https://www.flipkart.com,-1096813257,-1096813257,-1096813257,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G80 (12 nm) Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,,Home,Mobiles & Accessories,Mobiles,-1256364914,11999,10799,12999,29072020,https://www.flipkart.com\/realme-narzo-10-that-white-128-gb/p/itmfaa990ac54b7a?pid=MOBFQ36APESHAPGA&lid=LSTMOBFQ36APESHAPGAHAKOMN&marketplace=FLIPKART&srno=b_1_13&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=0a1723b3-8569-4d06-a70b-67cfc2ff3929.MOBFQ36APESHAPGA.SEARCH&ssid=xjrku67mqo0000001596019785401,1,1,42,0.884642622731545,20,645110,
Realme Narzo 10 (That Blue  128 GB),Realme,297526941,Realme Narzo 10 ,https://www.flipkart.com,2097628067,2097628067,2097628067,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G80 (12 nm) Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,,Home,Mobiles & Accessories,Mobiles,-1256364914,11999,9839,12999,29072020,https://www.flipkart.com\/realme-narzo-10-that-blue-128-gb/p/itmfaa990ac54b7a?pid=MOBFST9QDGZTNRY8&lid=LSTMOBFST9QDGZTNRY8ESA6YM&marketplace=FLIPKART&srno=b_1_14&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=0a1723b3-8569-4d06-a70b-67cfc2ff3929.MOBFST9QDGZTNRY8.SEARCH&ssid=xjrku67mqo0000001596019785401,1,1,13,0.8180700709350007,12,353224,
Realme 6 Pro (Lightning Orange  64 GB),Realme,297526941,Realme 6 Pro ,https://www.flipkart.com,-393596053,-393596053,-393596053,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) Full HD+ Display,64MP + 12MP + 8MP + 2MP | 16MP + 8MP Dual Front Camera,4300 mAh Battery,Snapdragon 720G Processor,90 Hz Ultra Smooth Display,30 W Flash Charge,Side Fingerprint Sensor | Dual In Display Selfie,Home,Mobiles & Accessories,Mobiles,-634189766,17999,16559,14000,29072020,https://www.flipkart.com\/realme-6-pro-lightning-orange-64-gb/p/itm82ff9c937cc46?pid=MOBFPCX74FWCZFMK&lid=LSTMOBFPCX74FWCZFMKR48GMH&marketplace=FLIPKART&srno=b_1_15&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=0a1723b3-8569-4d06-a70b-67cfc2ff3929.MOBFPCX74FWCZFMK.SEARCH&ssid=xjrku67mqo0000001596019785401,1,1,13,0.47287768648423933,36,692058,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
Realme 6 Pro (Lightning Blue  64 GB),Realme,297526941,Realme 6 Pro ,https://www.flipkart.com,-512057576,-512057576,-512057576,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) Full HD+ Display,64MP + 12MP + 8MP + 2MP | 16MP + 8MP Dual Front Camera,4300 mAh Battery,Snapdragon 720G Processor,90 Hz Ultra Smooth Display,30 W Flash Charge,Side Fingerprint Sensor | Dual In Display Selfie,Home,Mobiles & Accessories,Mobiles,-634189766,17999,16019,14000,29072020,https://www.flipkart.com\/realme-6-pro-lightning-blue-64-gb/p/itm19b1945c12aee?pid=MOBFPCX76F3BYQDH&lid=LSTMOBFPCX76F3BYQDHGAICT2&marketplace=FLIPKART&srno=b_1_16&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=0a1723b3-8569-4d06-a70b-67cfc2ff3929.MOBFPCX76F3BYQDH.SEARCH&ssid=xjrku67mqo0000001596019785401,1,1,28,0.9121614781650281,41,530112,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
Realme 6 (Comet Blue  64 GB),Realme,297526941,Realme 6 ,https://www.flipkart.com,-1605289639,-1605289639,-1605289639,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,90 Hz Ultra Smooth Display,30 W Flash Charge,Side Fingerprint Sensor,Home,Mobiles & Accessories,Mobiles,-316209145,14999,12299,14000,29072020,https://www.flipkart.com\/realme-6-comet-blue-64-gb/p/itm212944b2e7fb0?pid=MOBFPCX7F9NBPRRT&lid=LSTMOBFPCX7F9NBPRRTSHD9FQ&marketplace=FLIPKART&srno=b_1_17&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=0a1723b3-8569-4d06-a70b-67cfc2ff3929.MOBFPCX7F9NBPRRT.SEARCH&ssid=xjrku67mqo0000001596019785401,1,1,16,0.47133047757508517,31,874554,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
Realme 6 (Comet White  64 GB),Realme,297526941,Realme 6 ,https://www.flipkart.com,646379237,646379237,646379237,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,90 Hz Ultra Smooth Display,30 W Flash Charge,Side Fingerprint Sensor,Home,Mobiles & Accessories,Mobiles,-316209145,14999,13649,14000,29072020,https://www.flipkart.com\/realme-6-comet-white-64-gb/p/itm60c8ea61964bf?pid=MOBFPCX7VUY74ZND&lid=LSTMOBFPCX7VUY74ZNDMGKMU7&marketplace=FLIPKART&srno=b_1_18&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=0a1723b3-8569-4d06-a70b-67cfc2ff3929.MOBFPCX7VUY74ZND.SEARCH&ssid=xjrku67mqo0000001596019785401,1,1,45,0.5332516779640157,30,662396,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
Realme 6 Pro (Lightning Orange  128 GB),Realme,297526941,Realme 6 Pro ,https://www.flipkart.com,1965651886,1965651886,1965651886,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) Full HD+ Display,64MP + 12MP + 8MP + 2MP | 16MP + 8MP Dual Front Camera,4300 mAh Battery,Snapdragon 720G Processor,90 Hz Ultra Smooth Display,30 W Flash Charge,Side Fingerprint Sensor | Dual In Display Selfie,Home,Mobiles & Accessories,Mobiles,-634189766,18999,17669,14000,29072020,https://www.flipkart.com\/realme-6-pro-lightning-orange-128-gb/p/itmafe435ea64c8b?pid=MOBFPCX74VCPPHDY&lid=LSTMOBFPCX74VCPPHDYKOZ7ZK&marketplace=FLIPKART&srno=b_1_19&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=0a1723b3-8569-4d06-a70b-67cfc2ff3929.MOBFPCX74VCPPHDY.SEARCH&ssid=xjrku67mqo0000001596019785401,1,1,26,0.021222868415982532,22,685906,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
Realme 6 (Comet Blue  128 GB),Realme,297526941,Realme 6 ,https://www.flipkart.com,-1088825399,-1088825399,-1088825399,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,90 Hz Ultra Smooth Display,30 W Flash Charge,Side Fingerprint Sensor,Home,Mobiles & Accessories,Mobiles,-316209145,17999,15839,14000,29072020,https://www.flipkart.com\/realme-6-comet-blue-128-gb/p/itm50e6d62dcf5ee?pid=MOBFPCX72FYWY7NF&lid=LSTMOBFPCX72FYWY7NFMSGQ1L&marketplace=FLIPKART&srno=b_1_20&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=0a1723b3-8569-4d06-a70b-67cfc2ff3929.MOBFPCX72FYWY7NF.SEARCH&ssid=xjrku67mqo0000001596019785401,1,1,22,0.06532665551249439,34,955253,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
Realme X (Space Blue  128 GB),Realme,297526941,Realme X ,https://www.flipkart.com,944886301,944886301,944886301,8 GB RAM | 128 GB ROM,16.59 cm (6.53 inch) Full HD+ Display,48MP + 5MP | 16MP Front Camera,3765 mAh Battery,Qualcomm Snapdragon 710 Octa Core 2.2 GHz AIE Processor,In-display Fingerprint Sensor,VooC Flash Charge 3.0,Super AMOLED Display,Home,Mobiles & Accessories,Mobiles,178269956,20999,18479,14000,29072020,https://www.flipkart.com\/realme-x-space-blue-128-gb/p/itmfgybqzcgbxs26?pid=MOBFGYBQY2YQY9GY&lid=LSTMOBFGYBQY2YQY9GYGXR1YM&marketplace=FLIPKART&srno=b_1_21&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=0a1723b3-8569-4d06-a70b-67cfc2ff3929.MOBFGYBQY2YQY9GY.SEARCH&ssid=xjrku67mqo0000001596019785401,1,1,44,0.31277497054163883,35,698899,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Realme X2 (Pearl Green  128 GB),Realme,297526941,Realme X2 ,https://www.flipkart.com,1533483848,1533483848,1533483848,8 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 32MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 730G Processor,30W VOOC 4.0 Fast Charger,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,Home,Mobiles & Accessories,Mobiles,-1326666427,20999,19949,14000,29072020,https://www.flipkart.com\/realme-x2-pearl-green-128-gb/p/itm75023903eb431?pid=MOBFMXTSHXST8F6G&lid=LSTMOBFMXTSHXST8F6GUAX7BT&marketplace=FLIPKART&srno=b_1_22&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=0a1723b3-8569-4d06-a70b-67cfc2ff3929.MOBFMXTSHXST8F6G.SEARCH&ssid=xjrku67mqo0000001596019785401,1,1,10,0.9954349679443404,37,360322,
Realme X2 (Pearl White  128 GB),Realme,297526941,Realme X2 ,https://www.flipkart.com,475433624,475433624,475433624,8 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 32MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 730G Processor,30W VOOC 4.0 Fast Charger,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,Home,Mobiles & Accessories,Mobiles,-1326666427,20999,19739,14000,29072020,https://www.flipkart.com\/realme-x2-pearl-white-128-gb/p/itm75023903eb431?pid=MOBFMXTSYYYK5FKD&lid=LSTMOBFMXTSYYYK5FKD9VWIEI&marketplace=FLIPKART&srno=b_1_23&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=0a1723b3-8569-4d06-a70b-67cfc2ff3929.MOBFMXTSYYYK5FKD.SEARCH&ssid=xjrku67mqo0000001596019785401,1,1,46,0.058731014460126185,16,328195,
Realme X2 (Pearl White  256 GB),Realme,297526941,Realme X2 ,https://www.flipkart.com,885277235,885277235,885277235,8 GB RAM | 256 GB ROM,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 32MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 730G Processor,30W VOOC 4.0 Fast Charger,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,Home,Mobiles & Accessories,Mobiles,-1326666427,22999,21619,24999,29072020,https://www.flipkart.com\/realme-x2-pearl-white-256-gb/p/itm75023903eb431?pid=MOBFT4FHYNSUSN2G&lid=LSTMOBFT4FHYNSUSN2GMEBWNC&marketplace=FLIPKART&srno=b_1_24&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=0a1723b3-8569-4d06-a70b-67cfc2ff3929.MOBFT4FHYNSUSN2G.SEARCH&ssid=xjrku67mqo0000001596019785401,1,1,36,0.41701931413806703,17,724756,
Redmi 8 (Onyx Black  64 GB),Redmi,657854627,Redmi 8 ,https://www.flipkart.com,164259597,164259597,164259597,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,,Home,Mobiles & Accessories,Mobiles,-1944374913,9799,9309,10999,29072020,https://www.flipkart.com\/redmi-8-onyx-black-64-gb/p/itmebd23d8a2ed1b?pid=MOBFKPYDZJQHGJXA&lid=LSTMOBFKPYDZJQHGJXAPMDXOB&marketplace=FLIPKART&srno=b_1_1&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=93ee6f7e-4886-4182-ad3f-4fd4ff8f4067.MOBFKPYDZJQHGJXA.SEARCH&ssid=iddpdflrww0000001596019787058,1,1,14,0.810187924802008,27,865783,
Redmi 8 (Sapphire Blue  64 GB),Redmi,657854627,Redmi 8 ,https://www.flipkart.com,1487562782,1487562782,1487562782,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,,Home,Mobiles & Accessories,Mobiles,-1944374913,9799,8819,10999,29072020,https://www.flipkart.com\/redmi-8-sapphire-blue-64-gb/p/itmd1c68a1a86f5e?pid=MOBFKPYDENDXZZ7U&lid=LSTMOBFKPYDENDXZZ7U9TT5NP&marketplace=FLIPKART&srno=b_1_2&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=93ee6f7e-4886-4182-ad3f-4fd4ff8f4067.MOBFKPYDENDXZZ7U.SEARCH&ssid=iddpdflrww0000001596019787058,1,1,40,0.42008448129970244,25,102857,
Redmi 8A Dual (Midnight Grey  32 GB),Redmi,657854627,Redmi 8A Dual ,https://www.flipkart.com,-782462796,-782462796,-782462796,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) Full HD+ Display,13MP + 2MP | 8MP Dual Front Camera,5000 mAh Battery,Snapdragon 439 octa core processor Processor,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,,,Home,Mobiles & Accessories,Mobiles,-1846000361,8324,6909,0,29072020,https://www.flipkart.com\/redmi-8a-dual-midnight-grey-32-gb/p/itmf5568beb3c3a5?pid=MOBFP7655HZQ6ZKD&lid=LSTMOBFP7655HZQ6ZKDTZPXTH&marketplace=FLIPKART&srno=b_1_3&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=93ee6f7e-4886-4182-ad3f-4fd4ff8f4067.MOBFP7655HZQ6ZKD.SEARCH&ssid=iddpdflrww0000001596019787058,1,1,17,0.3886155093820133,23,216901,
