ItemName,Brand,BrandHash,ProductName,CompanyURL,ItemHash,MPN,UPC,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,Cat_0,Cat_1,Cat_2,ProductHash,Price,Cost,ListPrice,dt,ImageURL,Availability,OnSale,Inventory,Conversion_PCT,UnitsSold,Revenue,feature_6,feature_7
Realme 6i (Lunar White  64 GB),Realme,1128994175,Realme 6i ,https://www.flipkart.com,227830357,227830357,227830357,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,-441561334,12999,11699,14999,16092020,https://www.flipkart.com\/realme-6i-lunar-white-64-gb/p/itm0201cc97a2f61?pid=MOBFTAYNHTWGSWJ9&lid=LSTMOBFTAYNHTWGSWJ9BE2INT&marketplace=FLIPKART&srno=b_1_11&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=78f4f375-917a-4206-bcc9-4c94143bf62f.MOBFTAYNHTWGSWJ9.SEARCH&ssid=o3wf8exxlc0000001600250148004,1,1,21,0.7124497600291441,20,152159,,
Realme 6i (Lunar White  64 GB),Realme,1128994175,Realme 6i ,https://www.flipkart.com,227830357,227830357,227830357,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,-441561334,13999,11759,15999,16092020,https://www.flipkart.com\/realme-6i-lunar-white-64-gb/p/itm0201cc97a2f61?pid=MOBFTAYNJCYXTYM9&lid=LSTMOBFTAYNJCYXTYM9P6CM98&marketplace=FLIPKART&srno=b_1_12&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=78f4f375-917a-4206-bcc9-4c94143bf62f.MOBFTAYNJCYXTYM9.SEARCH&ssid=o3wf8exxlc0000001600250148004,1,1,20,0.799543965985551,22,901471,,
Realme 5i (Forest Green  64 GB),Realme,1128994175,Realme 5i ,https://www.flipkart.com,1412331256,1412331256,1412331256,4 GB RAM | 64 GB ROM,16.56 cm (6.52 inch) HD+ Display,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 665 2 GHz Processor,Sunrise Design,Home,Mobiles & Accessories,Mobiles,-2032643556,10999,9679,10150,16092020,https://www.flipkart.com\/realme-5i-forest-green-64-gb/p/itmdac0da867a9fa?pid=MOBFNG3GNW3BU2XE&lid=LSTMOBFNG3GNW3BU2XERAL9TG&marketplace=FLIPKART&srno=b_1_13&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=78f4f375-917a-4206-bcc9-4c94143bf62f.MOBFNG3GNW3BU2XE.SEARCH&ssid=o3wf8exxlc0000001600250148004,1,1,10,0.9078624866191977,12,246951,Reverse Charging,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Realme 6i (Eclipse Black  64 GB),Realme,1128994175,Realme 6i ,https://www.flipkart.com,-365036101,-365036101,-365036101,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,-441561334,13999,13159,15999,16092020,https://www.flipkart.com\/realme-6i-eclipse-black-64-gb/p/itm0201cc97a2f61?pid=MOBFTAYNHQKJAPYF&lid=LSTMOBFTAYNHQKJAPYFJJT6ZI&marketplace=FLIPKART&srno=b_1_14&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=78f4f375-917a-4206-bcc9-4c94143bf62f.MOBFTAYNHQKJAPYF.SEARCH&ssid=o3wf8exxlc0000001600250148004,1,1,32,0.37010139549884935,14,448030,,
Realme 5i (Aqua Blue  64 GB),Realme,1128994175,Realme 5i ,https://www.flipkart.com,-156446483,-156446483,-156446483,4 GB RAM | 64 GB ROM,16.56 cm (6.52 inch) HD+ Display,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 665 2 GHz Processor,Sunrise Design,Home,Mobiles & Accessories,Mobiles,-2032643556,10999,10229,10150,16092020,https://www.flipkart.com\/realme-5i-aqua-blue-64-gb/p/itmdac0da867a9fa?pid=MOBFNG3GZXCV63BE&lid=LSTMOBFNG3GZXCV63BEMPJERT&marketplace=FLIPKART&srno=b_1_15&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=78f4f375-917a-4206-bcc9-4c94143bf62f.MOBFNG3GZXCV63BE.SEARCH&ssid=o3wf8exxlc0000001600250148004,1,1,27,0.47901208568988285,39,282593,Reverse Charging,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Realme C3 (Frozen Blue  32 GB),Realme,1128994175,Realme C3 ,https://www.flipkart.com,1777799577,1777799577,1777799577,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP | 5MP Front Camera,5000 mAh Battery,Helio G70 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,-402416275,8999,7559,0,16092020,https://www.flipkart.com\/realme-c3-frozen-blue-32-gb/p/itm58bf81a807d66?pid=MOBFZHC5HAGKGBBW&lid=LSTMOBFZHC5HAGKGBBWWIQUNX&marketplace=FLIPKART&srno=b_1_16&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=78f4f375-917a-4206-bcc9-4c94143bf62f.MOBFZHC5HAGKGBBW.SEARCH&ssid=o3wf8exxlc0000001600250148004,1,1,24,0.2190905041553206,21,842222,,
Realme C3 (Volcano Grey  64 GB),Realme,1128994175,Realme C3 ,https://www.flipkart.com,815282926,815282926,815282926,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP | 5MP Front Camera,5000 mAh Battery,Helio G70 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,-402416275,9999,9399,9450,16092020,https://www.flipkart.com\/realme-c3-volcano-grey-64-gb/p/itm58bf81a807d66?pid=MOBFTPFF94QEFUGZ&lid=LSTMOBFTPFF94QEFUGZ0ZT6H5&marketplace=FLIPKART&srno=b_1_17&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=78f4f375-917a-4206-bcc9-4c94143bf62f.MOBFTPFF94QEFUGZ.SEARCH&ssid=o3wf8exxlc0000001600250148004,1,1,25,0.8849204197683276,28,872313,,
Realme C3 (Frozen Blue  64 GB),Realme,1128994175,Realme C3 ,https://www.flipkart.com,-1639529562,-1639529562,-1639529562,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP | 5MP Front Camera,5000 mAh Battery,Helio G70 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,-402416275,9999,8099,9450,16092020,https://www.flipkart.com\/realme-c3-frozen-blue-64-gb/p/itm58bf81a807d66?pid=MOBFZHC5QRBG2BSR&lid=LSTMOBFZHC5QRBG2BSRLO2FKJ&marketplace=FLIPKART&srno=b_1_18&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=78f4f375-917a-4206-bcc9-4c94143bf62f.MOBFZHC5QRBG2BSR.SEARCH&ssid=o3wf8exxlc0000001600250148004,1,1,49,0.9603402299758395,17,476493,,
Realme C3 (Volcano Grey  32 GB),Realme,1128994175,Realme C3 ,https://www.flipkart.com,1007843946,1007843946,1007843946,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP | 5MP Front Camera,5000 mAh Battery,Helio G70 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,-402416275,8999,7379,8450,16092020,https://www.flipkart.com\/realme-c3-volcano-grey-32-gb/p/itm58bf81a807d66?pid=MOBFTPFFBMNRSNW4&lid=LSTMOBFTPFFBMNRSNW4PHBGBL&marketplace=FLIPKART&srno=b_1_19&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=78f4f375-917a-4206-bcc9-4c94143bf62f.MOBFTPFFBMNRSNW4.SEARCH&ssid=o3wf8exxlc0000001600250148004,1,1,37,0.4822173406068406,45,693865,,
Realme Narzo 10 (That Green  128 GB),Realme,1128994175,Realme Narzo 10 ,https://www.flipkart.com,-1444970473,-1444970473,-1444970473,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G80 (12 nm) Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,1832496031,11999,9959,12999,16092020,https://www.flipkart.com\/realme-narzo-10-that-green-128-gb/p/itmfaa990ac54b7a?pid=MOBFQ36AGTW8HNMW&lid=LSTMOBFQ36AGTW8HNMWFLXHAY&marketplace=FLIPKART&srno=b_1_20&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=78f4f375-917a-4206-bcc9-4c94143bf62f.MOBFQ36AGTW8HNMW.SEARCH&ssid=o3wf8exxlc0000001600250148004,1,1,40,0.7056336219812832,42,506399,,
Realme Narzo 10 (That White  128 GB),Realme,1128994175,Realme Narzo 10 ,https://www.flipkart.com,-1392497176,-1392497176,-1392497176,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G80 (12 nm) Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,1832496031,11999,11399,12999,16092020,https://www.flipkart.com\/realme-narzo-10-that-white-128-gb/p/itmfaa990ac54b7a?pid=MOBFQ36APESHAPGA&lid=LSTMOBFQ36APESHAPGASV0OI4&marketplace=FLIPKART&srno=b_1_21&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=78f4f375-917a-4206-bcc9-4c94143bf62f.MOBFQ36APESHAPGA.SEARCH&ssid=o3wf8exxlc0000001600250148004,1,1,46,0.4872404890271246,35,819800,,
Realme C2 (Diamond Blue  32 GB),Realme,1128994175,Realme C2 ,https://www.flipkart.com,1379616803,1379616803,1379616803,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.49 cm (6.1 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4000 mAh Battery,MediaTek P22 Octa Core 2.0 GHz Processor,Dual Nano SIM slots and Memory Card Slot,Home,Mobiles & Accessories,Mobiles,282399773,6999,6579,7999,16092020,https://www.flipkart.com\/realme-c2-diamond-blue-32-gb/p/itmfgwba8kmejqpe?pid=MOBFHBZ4ZQB3CTZW&lid=LSTMOBFHBZ4ZQB3CTZWY5COWP&marketplace=FLIPKART&srno=b_1_22&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=78f4f375-917a-4206-bcc9-4c94143bf62f.MOBFHBZ4ZQB3CTZW.SEARCH&ssid=o3wf8exxlc0000001600250148004,1,1,33,0.667501329370582,23,347465,Face Unlock,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Realme Narzo 10 (That Blue  128 GB),Realme,1128994175,Realme Narzo 10 ,https://www.flipkart.com,-120347432,-120347432,-120347432,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G80 (12 nm) Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,1832496031,11999,11279,12999,16092020,https://www.flipkart.com\/realme-narzo-10-that-blue-128-gb/p/itmfaa990ac54b7a?pid=MOBFST9QDGZTNRY8&lid=LSTMOBFST9QDGZTNRY8ESA6YM&marketplace=FLIPKART&srno=b_1_23&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=78f4f375-917a-4206-bcc9-4c94143bf62f.MOBFST9QDGZTNRY8.SEARCH&ssid=o3wf8exxlc0000001600250148004,1,1,46,0.8323868800211828,34,361222,,
Realme C15 (Power Silver  32 GB),Realme,1128994175,Realme C15 ,https://www.flipkart.com,741401210,741401210,741401210,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,13MP + 8MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Lithium-ion Battery,Mediatek Helio G35 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,1017606723,9999,9099,11999,16092020,https://www.flipkart.com\/realme-c15-power-silver-32-gb/p/itm70ebdb8a0fbdf?pid=MOBFUEPQCDMJSGFX&lid=LSTMOBFUEPQCDMJSGFXRX8BFA&marketplace=FLIPKART&srno=b_1_24&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=78f4f375-917a-4206-bcc9-4c94143bf62f.MOBFUEPQCDMJSGFX.SEARCH&ssid=o3wf8exxlc0000001600250148004,1,1,12,0.2949108479304946,10,340061,,
Redmi 8 (Emerald Green  64 GB),Redmi,647709245,Redmi 8 ,https://www.flipkart.com,1700245886,1700245886,1700245886,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,-546738158,9999,9499,10999,16092020,https://www.flipkart.com\/redmi-8-emerald-green-64-gb/p/itme0903bcb8a2cb?pid=MOBFKPYDTSZ8SFHH&lid=LSTMOBFKPYDTSZ8SFHH7DBBDS&marketplace=FLIPKART&srno=b_1_1&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=468cee54-4b49-473e-bf45-46c4ec37f59b.MOBFKPYDTSZ8SFHH.SEARCH&ssid=eos346yvcw0000001600250148786,1,1,12,0.7047029141386488,24,895448,,
Redmi 8A Dual (Sky White  64 GB),Redmi,647709245,Redmi 8A Dual ,https://www.flipkart.com,760280023,760280023,760280023,3 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 439 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Batteries from the Date of Purchase,Home,Mobiles & Accessories,Mobiles,513419803,9450,8410,9599,16092020,https://www.flipkart.com\/redmi-8a-dual-sky-white-64-gb/p/itmf5568beb3c3a5?pid=MOBFSWAG5MRQMEXM&lid=LSTMOBFSWAG5MRQMEXMQC33TD&marketplace=FLIPKART&srno=b_1_2&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=468cee54-4b49-473e-bf45-46c4ec37f59b.MOBFSWAG5MRQMEXM.SEARCH&ssid=eos346yvcw0000001600250148786,1,1,19,0.8831138117780034,43,867648,,
Redmi Note 9 (Scralet Red  128 GB),Redmi,647709245,Redmi Note 9 ,https://www.flipkart.com,1159011019,1159011019,1159011019,4 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,48MP Rear Camera,5020 mAh Battery,MediaTek Helio G85 Processor,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,Home,Mobiles & Accessories,Mobiles,-1936326899,14350,11767,0,16092020,https://www.flipkart.com\/redmi-note-9-scralet-red-128-gb/p/itm12201c2ee63e5?pid=MOBFV2BYXPSYYJXZ&lid=LSTMOBFV2BYXPSYYJXZA21DAL&marketplace=FLIPKART&srno=b_1_3&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=468cee54-4b49-473e-bf45-46c4ec37f59b.MOBFV2BYXPSYYJXZ.SEARCH&ssid=eos346yvcw0000001600250148786,1,1,39,0.5700569321652618,47,692748,,
Redmi Note 9 (Aqua Green  128 GB),Redmi,647709245,Redmi Note 9 ,https://www.flipkart.com,-667507808,-667507808,-667507808,4 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,48MP Rear Camera,5020 mAh Battery,MediaTek Helio G85 Processor,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,Home,Mobiles & Accessories,Mobiles,-1936326899,14899,14154,0,16092020,https://www.flipkart.com\/redmi-note-9-aqua-green-128-gb/p/itm12201c2ee63e5?pid=MOBFU3ZFY6FGK4ZU&lid=LSTMOBFU3ZFY6FGK4ZUWQDRSW&marketplace=FLIPKART&srno=b_1_4&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=468cee54-4b49-473e-bf45-46c4ec37f59b.MOBFU3ZFY6FGK4ZU.SEARCH&ssid=eos346yvcw0000001600250148786,1,1,10,0.34528977244138803,40,706492,,
