ItemName,Brand,ProductName,CompanyURL,ItemNumber,MPN,UPC,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,Cat_0,Cat_1,Cat_2,ID,Price,Cost,ListPrice,dt,ImageURL,Availability,OnSale,Inventory,Conversion_PCT,UnitsSold,Revenue
Realme C11 (Rich Green  32 GB),Realme,Realme C11 ,https://www.flipkart.com,345283123,345283123,345283123,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,5000 mAh Battery,Mediatek Helio G35 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,,,Home,Mobiles & Accessories,Mobiles,-1632937761,7499,6224,8999,28072020,https://www.flipkart.com\/realme-c11-rich-green-32-gb/p/itm831d19fd9cdc4?pid=MOBFTAYBSAMB6X4F&lid=LSTMOBFTAYBSAMB6X4FGFA8AD&marketplace=FLIPKART&srno=b_1_11&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=7db18d55-c15d-4943-8e90-4623d5ed2539.MOBFTAYBSAMB6X4F.SEARCH&ssid=fie6se8vow0000001595956512052,1,1,46,0.0405013033905709,49,672542
Realme 6 Pro (Lightning Orange  64 GB),Realme,Realme 6 Pro ,https://www.flipkart.com,-1998107502,-1998107502,-1998107502,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) Full HD+ Display,64MP + 12MP + 8MP + 2MP | 16MP + 8MP Dual Front Camera,4300 mAh Battery,Snapdragon 720G Processor,90 Hz Ultra Smooth Display,30 W Flash Charge,Side Fingerprint Sensor | Dual In Display Selfie,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,-1026569158,17999,16379,14000,28072020,https://www.flipkart.com\/realme-6-pro-lightning-orange-64-gb/p/itm82ff9c937cc46?pid=MOBFPCX74FWCZFMK&lid=LSTMOBFPCX74FWCZFMKR48GMH&marketplace=FLIPKART&srno=b_1_12&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=7db18d55-c15d-4943-8e90-4623d5ed2539.MOBFPCX74FWCZFMK.SEARCH&ssid=fie6se8vow0000001595956512052,1,1,12,0.717865830077659,37,890702
Realme 6 Pro (Lightning Blue  64 GB),Realme,Realme 6 Pro ,https://www.flipkart.com,1820336775,1820336775,1820336775,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) Full HD+ Display,64MP + 12MP + 8MP + 2MP | 16MP + 8MP Dual Front Camera,4300 mAh Battery,Snapdragon 720G Processor,90 Hz Ultra Smooth Display,30 W Flash Charge,Side Fingerprint Sensor | Dual In Display Selfie,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,-1026569158,17999,17099,14000,28072020,https://www.flipkart.com\/realme-6-pro-lightning-blue-64-gb/p/itm19b1945c12aee?pid=MOBFPCX76F3BYQDH&lid=LSTMOBFPCX76F3BYQDHGAICT2&marketplace=FLIPKART&srno=b_1_13&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=7db18d55-c15d-4943-8e90-4623d5ed2539.MOBFPCX76F3BYQDH.SEARCH&ssid=fie6se8vow0000001595956512052,1,1,29,0.14474096304787387,11,417648
Realme X2 (Pearl Green  128 GB),Realme,Realme X2 ,https://www.flipkart.com,-538235031,-538235031,-538235031,8 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 32MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 730G Processor,30W VOOC 4.0 Fast Charger,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,,Home,Mobiles & Accessories,Mobiles,1561220929,20999,18479,14000,28072020,https://www.flipkart.com\/realme-x2-pearl-green-128-gb/p/itm75023903eb431?pid=MOBFMXTSHXST8F6G&lid=LSTMOBFMXTSHXST8F6GUAX7BT&marketplace=FLIPKART&srno=b_1_14&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=7db18d55-c15d-4943-8e90-4623d5ed2539.MOBFMXTSHXST8F6G.SEARCH&ssid=fie6se8vow0000001595956512052,1,1,28,0.9040896035635961,21,241418
Realme X2 (Pearl White  256 GB),Realme,Realme X2 ,https://www.flipkart.com,1987777952,1987777952,1987777952,8 GB RAM | 256 GB ROM,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 32MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 730G Processor,30W VOOC 4.0 Fast Charger,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,,Home,Mobiles & Accessories,Mobiles,1561220929,22999,20699,24999,28072020,https://www.flipkart.com\/realme-x2-pearl-white-256-gb/p/itm75023903eb431?pid=MOBFT4FHYNSUSN2G&lid=LSTMOBFT4FHYNSUSN2GMEBWNC&marketplace=FLIPKART&srno=b_1_15&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=7db18d55-c15d-4943-8e90-4623d5ed2539.MOBFT4FHYNSUSN2G.SEARCH&ssid=fie6se8vow0000001595956512052,1,1,20,0.6806468418996878,17,178058
Realme X2 (Pearl White  128 GB),Realme,Realme X2 ,https://www.flipkart.com,-1706555641,-1706555641,-1706555641,8 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 32MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 730G Processor,30W VOOC 4.0 Fast Charger,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,,Home,Mobiles & Accessories,Mobiles,1561220929,20999,17009,14000,28072020,https://www.flipkart.com\/realme-x2-pearl-white-128-gb/p/itm75023903eb431?pid=MOBFMXTSYYYK5FKD&lid=LSTMOBFMXTSYYYK5FKD9VWIEI&marketplace=FLIPKART&srno=b_1_16&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=7db18d55-c15d-4943-8e90-4623d5ed2539.MOBFMXTSYYYK5FKD.SEARCH&ssid=fie6se8vow0000001595956512052,1,1,36,0.802988054991087,32,869180
Realme X (Space Blue  128 GB),Realme,Realme X ,https://www.flipkart.com,-1075464837,-1075464837,-1075464837,8 GB RAM | 128 GB ROM,16.59 cm (6.53 inch) Full HD+ Display,48MP + 5MP | 16MP Front Camera,3765 mAh Battery,Qualcomm Snapdragon 710 Octa Core 2.2 GHz AIE Processor,In-display Fingerprint Sensor,VooC Flash Charge 3.0,Super AMOLED Display,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,1159563977,20999,19949, Off on Exchange,28072020,https://www.flipkart.com\/realme-x-space-blue-128-gb/p/itmfgybqzcgbxs26?pid=MOBFGYBQY2YQY9GY&lid=LSTMOBFGYBQY2YQY9GYGXR1YM&marketplace=FLIPKART&srno=b_1_17&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=7db18d55-c15d-4943-8e90-4623d5ed2539.MOBFGYBQY2YQY9GY.SEARCH&ssid=fie6se8vow0000001595956512052,1,1,35,0.6937167137599536,27,521721
Realme X (Space Blue  128 GB),Realme,Realme X ,https://www.flipkart.com,-1075464837,-1075464837,-1075464837,4 GB RAM | 128 GB ROM,16.59 cm (6.53 inch) Full HD+ Display,48MP + 5MP | 16MP Front Camera,3765 mAh Battery,Qualcomm Snapdragon 710 Octa Core 2.2 GHz AIE Processor,In-display Fingerprint Sensor,VooC Flash Charge 3.0,Super AMOLED Display,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,1159563977,17999,16919,14000,28072020,https://www.flipkart.com\/realme-x-space-blue-128-gb/p/itmfgybqzcgbxs26?pid=MOBFGYBQKYA5Y7HG&lid=LSTMOBFGYBQKYA5Y7HG7OS3JD&marketplace=FLIPKART&srno=b_1_18&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=7db18d55-c15d-4943-8e90-4623d5ed2539.MOBFGYBQKYA5Y7HG.SEARCH&ssid=fie6se8vow0000001595956512052,1,1,46,0.1665814395196461,21,121211
Realme 5 Pro (Sparkling Blue  128 GB),Realme,Realme 5 Pro ,https://www.flipkart.com,-1848622581,-1848622581,-1848622581,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP Quad Camera | 16MP Front Camera,4035 mAh Battery,Qualcomm Snapdragon SDM712 Octa Core 2.3 GHz Processor,VOOC Flash Charge 3.0,Triple Card Slot,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,Home,Mobiles & Accessories,Mobiles,-627629810,16999,14449,17999,28072020,https://www.flipkart.com\/realme-5-pro-sparkling-blue-128-gb/p/itmfj9twdugyvg77?pid=MOBFJ9TWAEBGAYFR&lid=LSTMOBFJ9TWAEBGAYFRGDVJVR&marketplace=FLIPKART&srno=b_1_19&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=7db18d55-c15d-4943-8e90-4623d5ed2539.MOBFJ9TWAEBGAYFR.SEARCH&ssid=fie6se8vow0000001595956512052,1,1,24,0.45633310281592976,20,480547
Realme 5 Pro (Sparkling Blue  64 GB),Realme,Realme 5 Pro ,https://www.flipkart.com,-873305911,-873305911,-873305911,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP Quad Camera | 16MP Front Camera,4035 mAh Battery,Qualcomm Snapdragon SDM712 Octa Core 2.3 GHz Processor,VOOC Flash Charge 3.0,Triple Card Slot,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,Home,Mobiles & Accessories,Mobiles,-627629810,14999,13199,15999,28072020,https://www.flipkart.com\/realme-5-pro-sparkling-blue-64-gb/p/itmfj9twdugyvg77?pid=MOBFJ9TWP4SYFYED&lid=LSTMOBFJ9TWP4SYFYED1NMUUZ&marketplace=FLIPKART&srno=b_1_20&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=7db18d55-c15d-4943-8e90-4623d5ed2539.MOBFJ9TWP4SYFYED.SEARCH&ssid=fie6se8vow0000001595956512052,1,1,26,0.6636468205653367,43,112268
Realme 5 Pro (Crystal Green  128 GB),Realme,Realme 5 Pro ,https://www.flipkart.com,-1334869344,-1334869344,-1334869344,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP Quad Camera | 16MP Front Camera,4035 mAh Battery,Qualcomm Snapdragon SDM712 Octa Core 2.3 GHz Processor,VOOC Flash Charge 3.0,Triple Card Slot,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,Home,Mobiles & Accessories,Mobiles,-627629810,16999,15299,17999,28072020,https://www.flipkart.com\/realme-5-pro-crystal-green-128-gb/p/itmfj9twdugyvg77?pid=MOBFJ9TWPMKKAZJK&lid=LSTMOBFJ9TWPMKKAZJKE5GWJG&marketplace=FLIPKART&srno=b_1_21&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=7db18d55-c15d-4943-8e90-4623d5ed2539.MOBFJ9TWPMKKAZJK.SEARCH&ssid=fie6se8vow0000001595956512052,1,1,18,0.3422465891941442,24,842916
Realme X3 (Glacier Blue  128 GB),Realme,Realme X3 ,https://www.flipkart.com,-760361638,-760361638,-760361638,6 GB RAM | 128 GB ROM,16.69 cm (6.57 inch) Full HD+ Display,64MP + 12MP + 8MP + 2MP | 16MP + 8MP Dual Front Camera,4200 mAh Battery,Qualcomm Snapdragon 855+ Processor,120 Hz Smooth Display,UIS and UIS Max Ultra Image Stabilization,Liquid Cooling System,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,329805773,24999,21249,26999,28072020,https://www.flipkart.com\/realme-x3-glacier-blue-128-gb/p/itm325a6e0c17b0a?pid=MOBFSS3QMU3TFPHA&lid=LSTMOBFSS3QMU3TFPHACWMSKR&marketplace=FLIPKART&srno=b_1_22&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=7db18d55-c15d-4943-8e90-4623d5ed2539.MOBFSS3QMU3TFPHA.SEARCH&ssid=fie6se8vow0000001595956512052,1,1,39,0.2093053644213848,43,701278
Realme X3 (Arctic White  128 GB),Realme,Realme X3 ,https://www.flipkart.com,-192299060,-192299060,-192299060,8 GB RAM | 128 GB ROM,16.69 cm (6.57 inch) Full HD+ Display,64MP + 12MP + 8MP + 2MP | 16MP + 8MP Dual Front Camera,4200 mAh Battery,Qualcomm Snapdragon 855+ Processor,120 Hz Smooth Display,UIS and UIS Max Ultra Image Stabilization,Liquid Cooling System,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,329805773,25999,24439,27999,28072020,https://www.flipkart.com\/realme-x3-arctic-white-128-gb/p/itm325a6e0c17b0a?pid=MOBFSS3QVKCSJY9P&lid=LSTMOBFSS3QVKCSJY9PJLJNVK&marketplace=FLIPKART&srno=b_1_23&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=7db18d55-c15d-4943-8e90-4623d5ed2539.MOBFSS3QVKCSJY9P.SEARCH&ssid=fie6se8vow0000001595956512052,1,1,37,0.6730213998644566,11,189407
Realme X3 (Arctic White  128 GB),Realme,Realme X3 ,https://www.flipkart.com,-192299060,-192299060,-192299060,6 GB RAM | 128 GB ROM,16.69 cm (6.57 inch) Full HD+ Display,64MP + 12MP + 8MP + 2MP | 16MP + 8MP Dual Front Camera,4200 mAh Battery,Qualcomm Snapdragon 855+ Processor,120 Hz Smooth Display,UIS and UIS Max Ultra Image Stabilization,Liquid Cooling System,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,329805773,24999,23499,26999,28072020,https://www.flipkart.com\/realme-x3-arctic-white-128-gb/p/itm325a6e0c17b0a?pid=MOBFSS3Q86GGEYZA&lid=LSTMOBFSS3Q86GGEYZADP2HLD&marketplace=FLIPKART&srno=b_1_24&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=7db18d55-c15d-4943-8e90-4623d5ed2539.MOBFSS3Q86GGEYZA.SEARCH&ssid=fie6se8vow0000001595956512052,1,1,10,0.7979873512026783,42,987418
Redmi 8 (Onyx Black  64 GB),Redmi,Redmi 8 ,https://www.flipkart.com,1985385286,1985385286,1985385286,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,,,Home,Mobiles & Accessories,Mobiles,735531503,9799,8525,10999,28072020,https://www.flipkart.com\/redmi-8-onyx-black-64-gb/p/itmebd23d8a2ed1b?pid=MOBFKPYDZJQHGJXA&lid=LSTMOBFKPYDZJQHGJXAPMDXOB&marketplace=FLIPKART&srno=b_1_1&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=a0dd2dc8-af64-4701-9e80-bc65fd81d439.MOBFKPYDZJQHGJXA.SEARCH&ssid=t0pyn1adg00000001595956513686,1,1,27,0.8290123434297919,27,283487
Redmi 8 (Emerald Green  64 GB),Redmi,Redmi 8 ,https://www.flipkart.com,-720350893,-720350893,-720350893,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,,,Home,Mobiles & Accessories,Mobiles,735531503,9799,8819,10999,28072020,https://www.flipkart.com\/redmi-8-emerald-green-64-gb/p/itme0903bcb8a2cb?pid=MOBFKPYDTSZ8SFHH&lid=LSTMOBFKPYDTSZ8SFHH7DBBDS&marketplace=FLIPKART&srno=b_1_2&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=a0dd2dc8-af64-4701-9e80-bc65fd81d439.MOBFKPYDTSZ8SFHH.SEARCH&ssid=t0pyn1adg00000001595956513686,1,1,44,0.15696514589073718,15,849623
Redmi 8 (Sapphire Blue  64 GB),Redmi,Redmi 8 ,https://www.flipkart.com,838321230,838321230,838321230,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,,,Home,Mobiles & Accessories,Mobiles,735531503,9799,8231,10999,28072020,https://www.flipkart.com\/redmi-8-sapphire-blue-64-gb/p/itmd1c68a1a86f5e?pid=MOBFKPYDENDXZZ7U&lid=LSTMOBFKPYDENDXZZ7U9TT5NP&marketplace=FLIPKART&srno=b_1_3&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=a0dd2dc8-af64-4701-9e80-bc65fd81d439.MOBFKPYDENDXZZ7U.SEARCH&ssid=t0pyn1adg00000001595956513686,1,1,38,0.11153103215786331,43,206350
